id,deskripsi_pengguna,label_rekomendasi,preprocessed
1,butuh laptop untuk desain grafis dan edit video,multimedia,butuh laptop desain grafis edit video
2,cari laptop ringan buat kerja kantoran dan browsing internet,office,cari laptop ringan kerja kantoran browsing internet
3,saya butuh laptop gaming dengan performa tinggi dan kartu grafis dedicated,gaming,butuh laptop gaming performa kartu grafis dedicated
4,ingin laptop murah untuk keperluan mengetik dan nonton film,office,laptop murah keperluan mengetik nonton film
5,perlu laptop untuk programming dan multitasking aplikasi berat,programming,laptop programming multitasking aplikasi berat
6,butuh laptop tipis dan ringan untuk dibawa ke kampus,office,butuh laptop tipis ringan dibawa kampus
7,"laptop yang cocok untuk animasi, rendering 3D, dan proyek desain arsitektur",multimedia,laptop cocok animasi rendering 3d proyek desain arsitektur
8,cari laptop ringan untuk kuliah dan ngetik,office,cari laptop ringan kuliah ngetik
9,saya ingin laptop kuat untuk main game berat,gaming,laptop kuat main game berat
10,butuh laptop untuk coding dan multitasking,programming,butuh laptop coding multitasking
11,mencari laptop dengan baterai tahan lama dan nyaman untuk zoom meeting,office,mencari laptop baterai tahan nyaman zoom meeting
12,butuh laptop performa tinggi untuk render video,multimedia,butuh laptop performa render video
13,saya perlu laptop yang bisa main Valorant dan FIFA,gaming,laptop main valorant fifa
14,ingin laptop untuk skripsi dan mengolah data excel,office,laptop skripsi mengolah data excel
15,laptop untuk pengembangan aplikasi dan debugging,programming,laptop pengembangan aplikasi debugging
16,cari laptop untuk desain UI/UX dan edit foto,multimedia,cari laptop desain uiux edit foto
17,saya ingin laptop untuk main game berat,gaming,laptop main game berat
18,butuh laptop untuk coding dan multitasking,gaming,butuh laptop coding multitasking
19,mencari laptop yang enteng untuk keperluan desain grafis dan editing,workstation,mencari laptop enteng keperluan desain grafis editing
20,butuh perangkat yang cocok untuk edit video dan membuat desain,multimedia,butuh perangkat cocok edit video desain
21,laptop untuk desain grafis yang ringan dan mudah dibawa,workstation,laptop desain grafis ringan mudah dibawa
22,laptop yang ringan dan mudah dibawa untuk desain grafis,workstation,laptop ringan mudah dibawa desain grafis
23,Saya ingin laptop yang dapat digunakan untuk bermain game berat.,multimedia,laptop bermain game berat
24,Saya butuh laptop yang kuat untuk bermain game berat seperti GTA V dan Call of Duty.,gaming,butuh laptop kuat bermain game berat gta v call of duty
25,Mencari laptop gaming dengan spesifikasi tinggi dan performa cepat.,gaming,mencari laptop gaming spesifikasi performa cepat
26,Ingin laptop yang bisa menjalankan game AAA tanpa lag.,gaming,laptop menjalankan game aaa lag
27,Laptop dengan kartu grafis bagus untuk main game FPS dan RPG.,gaming,laptop kartu grafis bagus main game fps rpg
28,Butuh laptop dengan prosesor kencang dan RAM besar untuk bermain game online.,gaming,butuh laptop prosesor kencang ram bermain game online
29,Mencari laptop yang punya pendingin bagus agar tidak cepat panas saat main game.,gaming,mencari laptop pendingin bagus cepat panas main game
30,Laptop gaming dengan refresh rate tinggi untuk pengalaman bermain lebih mulus.,gaming,laptop gaming refresh rate pengalaman bermain mulus
31,Saya ingin laptop gaming yang tetap ringan dan portabel.,gaming,laptop gaming ringan portabel
32,Laptop yang bisa memainkan game dengan grafis ultra tanpa frame drop.,gaming,laptop memainkan game grafis ultra frame drop
33,Cari laptop gaming dengan SSD besar untuk menyimpan banyak game.,gaming,cari laptop gaming ssd menyimpan game
34,Saya butuh laptop dengan layar IPS resolusi tinggi untuk editing foto dan video.,multimedia,butuh laptop layar ips resolusi editing foto video
35,"Cari laptop yang kuat menjalankan aplikasi seperti Adobe Photoshop, Illustrator, dan Premiere Pro",multimedia,cari laptop kuat menjalankan aplikasi adobe photoshop illustrator premiere pro
36,Ingin laptop dengan GPU yang mendukung render animasi 3D dan desain grafis berat,multimedia,laptop gpu mendukung render animasi 3d desain grafis berat
37,Laptop harus punya RAM minimal 16GB dan penyimpanan SSD untuk proses multitasking desain,multimedia,laptop ram minimal 16gb penyimpanan ssd proses multitasking desain
38,Butuh laptop yang ringan tapi tetap mampu menjalankan software editing dan desain dengan lancar,multimedia,butuh laptop ringan menjalankan software editing desain lancar
39,Saya ingin laptop dengan layar besar dan akurasi warna tinggi untuk keperluan desain grafis.,multimedia,laptop layar akurasi warna keperluan desain grafis
40,Cari laptop dengan performa tinggi untuk menjalankan AutoCAD dan software desain arsitektur,multimedia,cari laptop performa menjalankan autocad software desain arsitektur
41,Laptop yang saya butuhkan harus mampu menjalankan software grafis dan multimedia tanpa lag,multimedia,laptop butuhkan menjalankan software grafis multimedia lag
42,Saya mencari laptop yang cocok untuk content creator dan desainer grafis profesional.,multimedia,mencari laptop cocok content creator desainer grafis profesional
43,Laptop harus punya pendingin yang baik karena sering digunakan untuk editing dan rendering video,multimedia,laptop pendingin editing rendering video
44,Saya butuh laptop ringan untuk mengetik dan presentasi di kantor.,office,butuh laptop ringan mengetik presentasi kantor
45,Cari laptop yang cocok untuk menjalankan Microsoft Word dan Excel dengan lancar.,office,cari laptop cocok menjalankan microsoft word excel lancar
46,Saya ingin laptop yang awet baterainya untuk bekerja seharian tanpa colokan.,office,laptop awet baterainya seharian colokan
47,Laptop harus nyaman untuk mengetik dokumen dalam waktu lama.,office,laptop nyaman mengetik dokumen
48,Butuh laptop dengan desain simpel dan mudah dibawa ke kantor.,office,butuh laptop desain simpel mudah dibawa kantor
49,Saya mencari laptop yang bisa digunakan untuk meeting online dan kerja remote.,office,mencari laptop meeting online kerja remote
50,Laptop harus punya webcam dan mikrofon yang bagus untuk rapat Zoom.,office,laptop webcam mikrofon bagus rapat zoom
51,"Ingin laptop cepat untuk browsing, email, dan membuat laporan kerja.",office,laptop cepat browsing email laporan kerja
52,Cari laptop yang cocok untuk pekerjaan administrasi dan input data.,office,cari laptop cocok pekerjaan administrasi input data
53,Saya butuh laptop untuk membuat presentasi PowerPoint dan laporan bulanan,office,butuh laptop presentasi powerpoint laporan bulanan
54,Ingin laptop murah tapi cukup untuk kerja kantor dan manajemen dokumen,office,laptop murah kerja kantor manajemen dokumen
55,Saya cari laptop yang bisa buka banyak tab browser sekaligus tanpa lemot.,office,cari laptop buka tab browser lemot
56,"Laptop ini digunakan untuk kerja kantoran biasa, tidak butuh spesifikasi tinggi.",office,laptop kerja kantoran butuh spesifikasi
57,Laptop harus mendukung aplikasi seperti Google Docs dan Spreadsheet,office,laptop mendukung aplikasi google docs spreadsheet
